column,missing_count,missing_pct
patent_id,0,0.0
patent_type,0,0.0
is_other_type,0,0.0
is_design,0,0.0
is_utility,0,0.0
keyword_score,0,0.0
kw_data,0,0.0
kw_antenna,0,0.0
kw_energy,0,0.0
kw_network,0,0.0
kw_iot,0,0.0
kw_security,0,0.0
kw_cloud_edge,0,0.0
kw_ai_ml,0,0.0
kw_5g,0,0.0
title_has_acronym,0,0.0
title_has_number,0,0.0
title_len_words,0,0.0
title_len_chars,0,0.0
quarter_end,0,0.0
day_of_year,0,0.0
day_of_week,0,0.0
month,0,0.0
quarter,0,0.0
year,0,0.0
patent_title,0,0.0
patent_date,0,0.0
tech_era,0,0.0
